medal_type,medal_code,name,gender,discipline,event,code,country_code
Bronze Medal,3,Kimberley WOODS,F,Canoe Slalom,Women's Kayak Cross,1896045,GBR
Gold Medal,1,Great Britain,F,Cycling Track,Women's Team Sprint,CTRWSPRTEAM3GBR01,GBR
Silver Medal,2,New Zealand,F,Cycling Track,Women's Team Sprint,CTRWSPRTEAM3NZL01,NZL
Bronze Medal,3,Germany,F,Cycling Track,Women's Team Sprint,CTRWSPRTEAM3GER01,GER
Gold Medal,1,LI Yuehong,M,Shooting,25m Rapid Fire Pistol Men,1913913,CHN
Silver Medal,2,CHO Yeongjae,M,Shooting,25m Rapid Fire Pistol Men,1893852,KOR
Bronze Medal,3,WANG Xinjie,M,Shooting,25m Rapid Fire Pistol Men,1913919,CHN
Gold Medal,1,Italy 1,X,Shooting,Skeet Mixed Team,SHOXSKMT----ITA01,ITA
Silver Medal,2,United States 1,X,Shooting,Skeet Mixed Team,SHOXSKMT----USA01,USA
Bronze Medal,3,China,X,Shooting,Skeet Mixed Team,SHOXSKMT----CHN01,CHN
Gold Medal,1,Kauli VAAST,M,Surfing,Men,1567361,FRA
Silver Medal,2,Jack ROBINSON,M,Surfing,Men,1946129,AUS
Bronze Medal,3,Gabriel MEDINA,M,Surfing,Men,1955778,BRA
Gold Medal,1,Caroline MARKS,F,Surfing,Women,1943206,USA
Silver Medal,2,Tatiana WESTON-WEBB,F,Surfing,Women,1955783,BRA
Bronze Medal,3,Johanne DEFAY,F,Surfing,Women,1567359,FRA
Gold Medal,1,Germany,X,Triathlon,Mixed Relay,TRIXTEAM4---GER01,GER
Silver Medal,2,United States,X,Triathlon,Mixed Relay,TRIXTEAM4---USA01,USA
Bronze Medal,3,Great Britain,X,Triathlon,Mixed Relay,TRIXTEAM4---GBR01,GBR
Gold Medal,1,Cole HOCKER,M,Athletics,Men's 1500m,1960933,USA
Silver Medal,2,Josh KERR,M,Athletics,Men's 1500m,1924440,GBR
Bronze Medal,3,Yared NUGUSE,M,Athletics,Men's 1500m,1965327,USA
Gold Medal,1,Miltiadis TENTOGLOU,M,Athletics,Men's Long Jump,1961246,GRE
Silver Medal,2,Wayne PINNOCK,M,Athletics,Men's Long Jump,1938899,JAM
Bronze Medal,3,Mattia FURLANI,M,Athletics,Men's Long Jump,1552378,ITA
Gold Medal,1,Gabrielle THOMAS,F,Athletics,Women's 200m,1965868,USA
Silver Medal,2,Julien ALFRED,F,Athletics,Women's 200m,1537325,LCA
Bronze Medal,3,Brittany BROWN,F,Athletics,Women's 200m,1960588,USA
Gold Medal,1,Winfred YAVI,F,Athletics,Women's 3000m Steeplechase,1926102,BRN
Silver Medal,2,Peruth CHEMUTAI,F,Athletics,Women's 3000m Steeplechase,1971686,UGA
Bronze Medal,3,Faith CHEROTICH,F,Athletics,Women's 3000m Steeplechase,1910453,KEN
Gold Medal,1,Camryn ROGERS,F,Athletics,Women's Hammer Throw,1974290,CAN
Silver Medal,2,Annette Nneka ECHIKUNWOKE,F,Athletics,Women's Hammer Throw,1960899,USA
Bronze Medal,3,ZHAO Jie,F,Athletics,Women's Hammer Throw,1919077,CHN
Bronze Medal,3,Omari JONES,M,Boxing,Men's 71kg,1955645,USA
Bronze Medal,3,Lewis RICHARDSON,M,Boxing,Men's 71kg,1912009,GBR
Bronze Medal,3,Nazym KYZAIBAY,F,Boxing,Women's 50kg,1931331,KAZ
Bronze Medal,3,Aira VILLEGAS,F,Boxing,Women's 50kg,1979870,PHI
Gold Medal,1,Kellie HARRINGTON,F,Boxing,Women's 60kg,1555098,IRL
Silver Medal,2,YANG Wenlu,F,Boxing,Women's 60kg,1926828,CHN
Bronze Medal,3,Janjaem SUWANNAPHENG,F,Boxing,Women's 66kg,1898283,THA
Bronze Medal,3,CHEN Nien Chin,F,Boxing,Women's 66kg,1887975,TPE
Gold Medal,1,Netherlands,M,Cycling Track,Men's Team Sprint,CTRMSPRTEAM3NED01,NED
Silver Medal,2,Great Britain,M,Cycling Track,Men's Team Sprint,CTRMSPRTEAM3GBR01,GBR
Bronze Medal,3,Australia,M,Cycling Track,Men's Team Sprint,CTRMSPRTEAM3AUS01,AUS
Gold Medal,1,QUAN Hongchan,F,Diving,Women's 10m Platform,1901545,CHN
Silver Medal,2,CHEN Yuxi,F,Diving,Women's 10m Platform,1901544,CHN
Bronze Medal,3,KIM Mi Rae,F,Diving,Women's 10m Platform,1980115,PRK
Gold Medal,1,Christian KUKUK,O,Equestrian,Jumping Individual,1914912,GER
Silver Medal,2,Steve GUERDAT,O,Equestrian,Jumping Individual,1976553,SUI
Bronze Medal,3,Maikel van der VLEUTEN,O,Equestrian,Jumping Individual,1976879,NED
Gold Medal,1,Arisa TREW,F,Skateboarding,Women's Park,1946064,AUS
Silver Medal,2,HIRAKI Cocona,F,Skateboarding,Women's Park,1902075,JPN
Bronze Medal,3,Sky BROWN,F,Skateboarding,Women's Park,1544123,GBR
Gold Medal,1,Mijain LOPEZ NUNEZ,M,Wrestling,Men's Greco-Roman 130kg,1571506,CUB
Silver Medal,2,Yasmani ACOSTA FERNANDEZ,M,Wrestling,Men's Greco-Roman 130kg,1935199,CHI
Bronze Medal,3,Amin MIRZAZADEH,M,Wrestling,Men's Greco-Roman 130kg,1544882,IRI
Bronze Medal,3,MENG Lingzhe,M,Wrestling,Men's Greco-Roman 130kg,1919983,CHN
Gold Medal,1,FUMITA Kenichiro,M,Wrestling,Men's Greco-Roman 60kg,1939713,JPN
Silver Medal,2,CAO Liguo,M,Wrestling,Men's Greco-Roman 60kg,1919973,CHN
Bronze Medal,3,Zholaman SHARSHENBEKOV,M,Wrestling,Men's Greco-Roman 60kg,1566631,KGZ
Bronze Medal,3,RI Se Ung,M,Wrestling,Men's Greco-Roman 60kg,1980153,PRK
Gold Medal,1,Amit ELOR,F,Wrestling,Women's Freestyle 68kg,1955304,USA
Silver Medal,2,Meerim ZHUMANAZAROVA,F,Wrestling,Women's Freestyle 68kg,1568241,KGZ
Bronze Medal,3,Buse CAVUSOGLU TOSUN,F,Wrestling,Women's Freestyle 68kg,1570415,TUR
Bronze Medal,3,OZAKI Nonoka,F,Wrestling,Women's Freestyle 68kg,1939709,JPN
Gold Medal,1,China,O,Artistic Swimming,Team,SWAWTEAM8---CHN01,CHN
Silver Medal,2,United States,O,Artistic Swimming,Team,SWAWTEAM8---USA01,USA
Bronze Medal,3,Spain,O,Artistic Swimming,Team,SWAWTEAM8---ESP01,ESP
Gold Medal,1,MARTIN A/PEREZ M,X,Athletics,Marathon Race Walk Relay Mixed,ATHX42KWALKTESP02,ESP
Silver Medal,2,PINTADO B/MOREJON G,X,Athletics,Marathon Race Walk Relay Mixed,ATHX42KWALKTECU01,ECU
Bronze Medal,3,COWLEY R/MONTAG J,X,Athletics,Marathon Race Walk Relay Mixed,ATHX42KWALKTAUS01,AUS
Gold Medal,1,Soufiane EL BAKKALI,M,Athletics,Men's 3000m Steeplechase,1555372,MAR
Silver Medal,2,Kenneth ROOKS,M,Athletics,Men's 3000m Steeplechase,1965896,USA
Bronze Medal,3,Abraham KIBIWOT,M,Athletics,Men's 3000m Steeplechase,1910445,KEN
Gold Medal,1,Quincy HALL,M,Athletics,Men's 400m,1960177,USA
Silver Medal,2,Matthew HUDSON-SMITH,M,Athletics,Men's 400m,1924430,GBR
Bronze Medal,3,Muzala SAMUKONGA,M,Athletics,Men's 400m,1937531,ZAM
Gold Medal,1,Roje STONA,M,Athletics,Men's Discus Throw,1912322,JAM
Silver Medal,2,Mykolas ALEKNA,M,Athletics,Men's Discus Throw,1922593,LTU
Bronze Medal,3,Matthew DENNY,M,Athletics,Men's Discus Throw,1939824,AUS
Gold Medal,1,Nina KENNEDY,F,Athletics,Women's Pole Vault,1939839,AUS
Silver Medal,2,Katie MOON,F,Athletics,Women's Pole Vault,1965268,USA
Bronze Medal,3,Alysha NEWMAN,F,Athletics,Women's Pole Vault,1974216,CAN
Bronze Medal,3,Nelvie Raman TIAFACK,M,Boxing,Men's +92kg,1895903,GER
Bronze Medal,3,Djamili-Dini ABOUDOU MOINDZE,M,Boxing,Men's +92kg,1879120,FRA
Gold Medal,1,Erislandy ALVAREZ BORGES,M,Boxing,Men's 63.5kg,1555537,CUB
Silver Medal,2,Sofiane OUMIHA,M,Boxing,Men's 63.5kg,1879111,FRA
Gold Medal,1,Oleksandr KHYZHNIAK,M,Boxing,Men's 80kg,1564362,UKR
Silver Medal,2,Nurbek ORALBAY,M,Boxing,Men's 80kg,1932824,KAZ
Bronze Medal,3,Esra YILDIZ KAHRAMAN,F,Boxing,Women's 57kg,1568204,TUR
Bronze Medal,3,Nesthy PETECIO,F,Boxing,Women's 57kg,1979904,PHI
Gold Medal,1,Australia,M,Cycling Track,Men's Team Pursuit,CTRMPURTEAM4AUS01,AUS
Silver Medal,2,Great Britain,M,Cycling Track,Men's Team Pursuit,CTRMPURTEAM4GBR01,GBR
Bronze Medal,3,Italy,M,Cycling Track,Men's Team Pursuit,CTRMPURTEAM4ITA01,ITA
Gold Medal,1,United States,F,Cycling Track,Women's Team Pursuit,CTRWPURTEAM4USA01,USA
Silver Medal,2,New Zealand,F,Cycling Track,Women's Team Pursuit,CTRWPURTEAM4NZL01,NZL
Bronze Medal,3,Great Britain,F,Cycling Track,Women's Team Pursuit,CTRWPURTEAM4GBR01,GBR
Gold Medal,1,Matt WEARN,M,Sailing,Men's Dinghy,1945990,AUS
Silver Medal,2,Pavlos KONTIDES,M,Sailing,Men's Dinghy,1905347,CYP
Bronze Medal,3,Stefano PESCHIERA,M,Sailing,Men's Dinghy,1944316,PER
Gold Medal,1,Marit BOUWMEESTER,F,Sailing,Women's Dinghy,1970500,NED
Silver Medal,2,Anne-Marie RINDOM,F,Sailing,Women's Dinghy,1895121,DEN
Bronze Medal,3,Line Flem HOEST,F,Sailing,Women's Dinghy,1878602,NOR
Gold Medal,1,Keegan PALMER,M,Skateboarding,Men's Park,1946074,AUS
Silver Medal,2,Tom SCHAAR,M,Skateboarding,Men's Park,1944247,USA
